# Edges (u,v,w)
1 2 3
2 3 9
2 4 2
3 5 5
3 6 8
4 7 1
4 8 5
5 9 3
5 10 3
6 11 5
6 12 3
7 13 4
7 14 5
8 15 6
8 16 8
9 17 6
9 18 6
10 19 8
10 20 8
11 21 7
11 22 8
12 23 7
12 24 4
13 25 3
13 26 8
14 27 1
14 28 8
15 29 3
15 30 4
16 31 3
16 32 10
17 33 10
17 34 4
18 35 7
18 36 10
19 37 5
19 38 2
20 39 10
20 40 8
21 41 10
21 42 7
22 43 10
22 44 8
23 45 3
23 46 10
24 47 10
24 48 8
25 49 8
25 50 7
26 51 5
26 52 3
27 53 2
27 54 8
28 55 9
28 56 4
29 57 7
29 58 6
30 59 2
30 60 3
31 61 4
31 62 9
32 63 3
32 64 7
33 65 6
33 66 1
34 67 3
34 68 6
35 69 9
35 70 7
36 71 6
36 72 5
37 73 9
37 74 5
38 75 9
38 76 1
39 77 10
39 78 9
40 79 2
40 80 2
41 81 3
41 82 3
42 83 10
42 84 8
43 85 1
43 86 2
44 87 2
44 88 8
45 89 3
45 90 6
46 91 8
46 92 2
47 93 5
47 94 9
48 95 3
48 96 10
49 97 7
49 98 10
50 99 2
50 100 9
51 101 8
51 102 7
52 103 4
52 104 4
53 105 4
53 106 2
54 107 10
54 108 7
55 109 10
55 110 2
56 111 10
56 112 2
57 113 8
57 114 5
58 115 2
58 116 9
59 117 2
59 118 6
60 119 8
60 120 8
61 121 5
61 122 6
62 123 4
62 124 6
63 125 1
63 126 7
64 127 4
64 128 10
65 129 3
65 130 9
66 131 10
66 132 4
67 133 9
67 134 5
68 135 8
68 136 10
69 137 4
69 138 1
70 139 7
70 140 4
71 141 10
71 142 9
72 143 9
72 144 2
73 145 5
73 146 9
74 147 2
74 148 8
75 149 10
75 150 8
76 151 4
76 152 2
77 153 10
77 154 4
78 155 8
78 156 4
79 157 4
79 158 4
80 159 5
80 160 10
81 161 3
81 162 8
82 163 10
82 164 6
83 165 6
83 166 2
84 167 2
84 168 6
85 169 5
85 170 9
86 171 2
86 172 3
87 173 2
87 174 4
88 175 5
88 176 2
89 177 7
89 178 1
90 179 5
90 180 9
91 181 5
91 182 3
92 183 9
92 184 7
93 185 3
93 186 9
94 187 4
94 188 5
95 189 4
95 190 1
96 191 5
96 192 5
97 193 9
97 194 10
98 195 6
98 196 8
99 197 7
99 198 5
100 199 2
100 200 2
