# Edges (u,v,w)
1 2 3
2 3 1
2 4 2
3 5 4
3 6 10
4 7 5
4 8 3
5 9 8
5 10 6
6 11 9
6 12 10
7 13 6
7 14 2
8 15 4
8 16 4
9 17 4
9 18 9
10 19 7
10 20 10
11 21 1
11 22 10
12 23 5
12 24 8
13 25 1
13 26 1
14 27 1
14 28 5
15 29 10
15 30 8
16 31 9
16 32 1
17 33 10
17 34 4
18 35 2
18 36 3
19 37 5
19 38 2
20 39 8
20 40 5
21 41 7
21 42 5
22 43 3
22 44 6
23 45 2
23 46 10
24 47 4
24 48 5
25 49 4
25 50 7
26 51 3
26 52 4
27 53 5
27 54 4
28 55 1
28 56 5
29 57 1
29 58 6
30 59 1
30 60 6
31 61 1
31 62 7
32 63 4
32 64 1
33 65 3
33 66 2
34 67 10
34 68 6
35 69 10
35 70 10
36 71 8
36 72 6
37 73 10
37 74 1
38 75 4
38 76 5
39 77 9
39 78 10
40 79 7
40 80 8
41 81 4
41 82 2
42 83 3
42 84 5
43 85 7
43 86 3
44 87 7
44 88 3
45 89 4
45 90 7
46 91 6
46 92 10
47 93 8
47 94 4
48 95 8
48 96 4
49 97 2
49 98 10
50 99 5
50 100 2
51 101 9
51 102 10
52 103 8
52 104 2
53 105 5
53 106 8
54 107 10
54 108 9
55 109 4
55 110 6
56 111 8
56 112 6
57 113 3
57 114 7
58 115 3
58 116 10
59 117 1
59 118 1
60 119 2
60 120 1
61 121 3
61 122 3
62 123 2
62 124 2
63 125 8
63 126 1
64 127 9
64 128 9
65 129 1
65 130 10
66 131 8
66 132 7
67 133 8
67 134 1
68 135 9
68 136 8
69 137 5
69 138 9
70 139 5
70 140 3
71 141 5
71 142 3
72 143 3
72 144 7
73 145 8
73 146 8
74 147 6
74 148 3
75 149 6
75 150 6
76 151 10
76 152 8
77 153 1
77 154 5
78 155 5
78 156 2
79 157 4
79 158 4
80 159 3
80 160 4
81 161 10
81 162 9
82 163 7
82 164 5
83 165 8
83 166 4
84 167 1
84 168 1
85 169 9
85 170 1
86 171 3
86 172 9
87 173 3
87 174 5
88 175 6
88 176 6
89 177 3
89 178 10
90 179 6
90 180 10
91 181 3
91 182 4
92 183 10
92 184 10
93 185 1
93 186 5
94 187 1
94 188 7
95 189 4
95 190 4
96 191 3
96 192 2
97 193 5
97 194 5
98 195 7
98 196 7
99 197 6
99 198 10
100 199 10
100 200 1
