# Edges (u,v,w)
1 2 3
2 3 5
2 4 3
3 5 7
3 6 5
4 7 9
4 8 5
5 9 8
5 10 7
6 11 9
6 12 7
7 13 5
7 14 3
8 15 6
8 16 5
9 17 5
9 18 5
10 19 3
10 20 8
11 21 1
11 22 8
12 23 6
12 24 6
13 25 1
13 26 1
14 27 1
14 28 6
15 29 4
15 30 1
16 31 1
16 32 2
17 33 8
17 34 10
18 35 10
18 36 6
19 37 9
19 38 10
20 39 6
20 40 1
21 41 1
21 42 1
22 43 8
22 44 3
23 45 7
23 46 8
24 47 6
24 48 1
25 49 4
25 50 7
26 51 3
26 52 4
27 53 1
27 54 5
28 55 5
28 56 6
29 57 8
29 58 7
30 59 1
30 60 7
31 61 1
31 62 9
32 63 4
32 64 6
33 65 10
33 66 5
34 67 2
34 68 5
35 69 10
35 70 2
36 71 10
36 72 7
37 73 6
37 74 9
38 75 2
38 76 9
39 77 1
39 78 2
40 79 2
40 80 9
41 81 10
41 82 8
42 83 8
42 84 5
43 85 2
43 86 5
44 87 3
44 88 6
45 89 5
45 90 6
46 91 5
46 92 7
47 93 6
47 94 1
48 95 2
48 96 3
49 97 8
49 98 1
50 99 7
50 100 4
