# Edges (u,v,w)
1 2 3
2 3 10
2 4 10
3 5 6
3 6 5
4 7 1
4 8 10
5 9 7
5 10 10
6 11 6
6 12 7
7 13 8
7 14 7
8 15 4
8 16 9
9 17 4
9 18 4
10 19 2
10 20 10
11 21 8
11 22 9
12 23 5
12 24 7
13 25 4
13 26 7
14 27 9
14 28 4
15 29 8
15 30 4
16 31 1
16 32 8
17 33 5
17 34 7
18 35 2
18 36 8
19 37 6
19 38 3
20 39 4
20 40 9
21 41 5
21 42 7
22 43 5
22 44 1
23 45 1
23 46 8
24 47 4
24 48 8
25 49 8
25 50 4
26 51 9
26 52 8
27 53 8
27 54 3
28 55 4
28 56 8
29 57 9
29 58 5
30 59 10
30 60 6
31 61 1
31 62 5
32 63 2
32 64 6
33 65 5
33 66 1
34 67 9
34 68 4
35 69 2
35 70 7
36 71 10
36 72 9
37 73 9
37 74 4
38 75 4
38 76 1
39 77 10
39 78 7
40 79 3
40 80 6
41 81 4
41 82 4
42 83 1
42 84 2
43 85 5
43 86 4
44 87 4
44 88 6
45 89 2
45 90 3
46 91 2
46 92 3
47 93 10
47 94 5
48 95 5
48 96 5
49 97 9
49 98 9
50 99 3
50 100 3
