# Edges (u,v,w)
1 2 3
2 3 4
2 4 1
3 5 10
3 6 1
4 7 9
4 8 9
5 9 9
5 10 8
6 11 6
6 12 3
7 13 5
7 14 8
8 15 10
8 16 1
9 17 5
9 18 10
10 19 4
10 20 3
11 21 1
11 22 9
12 23 9
12 24 2
13 25 3
13 26 1
14 27 5
14 28 4
15 29 6
15 30 2
16 31 2
16 32 4
17 33 2
17 34 7
18 35 10
18 36 5
19 37 10
19 38 4
20 39 9
20 40 5
21 41 6
21 42 8
22 43 9
22 44 3
23 45 7
23 46 5
24 47 4
24 48 2
25 49 6
25 50 10
26 51 7
26 52 5
27 53 3
27 54 3
28 55 2
28 56 6
29 57 8
29 58 1
30 59 6
30 60 3
31 61 3
31 62 4
32 63 2
32 64 10
33 65 4
33 66 9
34 67 4
34 68 3
35 69 2
35 70 8
36 71 9
36 72 10
37 73 1
37 74 2
38 75 9
38 76 10
39 77 7
39 78 8
40 79 3
40 80 3
41 81 7
41 82 5
42 83 5
42 84 8
43 85 4
43 86 10
44 87 1
44 88 1
45 89 7
45 90 7
46 91 10
46 92 10
47 93 8
47 94 4
48 95 4
48 96 7
49 97 2
49 98 5
50 99 5
50 100 3
