# Edges (u,v,w)
1 2 3
1 3 3
2 4 8
2 5 8
3 6 4
3 7 3
4 8 3
4 9 6
5 10 9
5 11 1
6 12 6
6 13 2
7 14 2
7 15 8
8 16 4
8 17 3
9 18 6
9 19 10
10 20 8
10 21 9
11 22 1
11 23 2
12 24 1
12 25 9
13 26 1
13 27 3
14 28 4
14 29 2
15 30 10
15 31 8
16 32 1
16 33 1
17 34 8
17 35 10
18 36 9
18 37 4
19 38 4
19 39 5
20 40 10
20 41 8
21 42 4
21 43 4
22 44 3
22 45 3
23 46 8
23 47 4
24 48 4
24 49 9
25 50 2
25 51 5
26 52 3
26 53 5
27 54 10
27 55 3
28 56 4
28 57 8
29 58 1
29 59 10
30 60 3
30 61 4
31 62 10
31 63 5
32 64 6
32 65 9
33 66 9
33 67 1
34 68 2
34 69 7
35 70 10
35 71 10
36 72 8
36 73 4
37 74 4
37 75 3
38 76 1
38 77 1
39 78 10
39 79 6
40 80 10
40 81 7
41 82 6
41 83 1
42 84 6
42 85 3
43 86 7
43 87 3
44 88 4
44 89 3
45 90 10
45 91 2
46 92 6
46 93 6
47 94 2
47 95 1
48 96 8
48 97 6
49 98 5
49 99 9
50 100 4
