# Edges (u,v,w)
1 2 3
1 3 3
2 4 4
2 5 10
3 6 6
3 7 3
4 8 10
4 9 10
5 10 3
5 11 6
6 12 4
6 13 5
7 14 9
7 15 2
8 16 2
8 17 8
9 18 1
9 19 5
10 20 6
10 21 1
11 22 10
11 23 5
12 24 6
12 25 8
13 26 2
13 27 8
14 28 2
14 29 6
15 30 9
15 31 9
16 32 9
16 33 10
17 34 10
17 35 8
18 36 9
18 37 2
19 38 10
19 39 9
20 40 9
20 41 1
21 42 1
21 43 5
22 44 8
22 45 5
23 46 6
23 47 8
24 48 9
24 49 5
25 50 3
25 51 10
26 52 5
26 53 4
27 54 8
27 55 4
28 56 3
28 57 7
29 58 8
29 59 3
30 60 7
30 61 9
31 62 7
31 63 5
32 64 9
32 65 2
33 66 4
33 67 7
34 68 7
34 69 8
35 70 6
35 71 3
36 72 6
36 73 9
37 74 10
37 75 6
38 76 2
38 77 3
39 78 9
39 79 7
40 80 5
40 81 7
41 82 1
41 83 3
42 84 6
42 85 10
43 86 4
43 87 4
44 88 8
44 89 5
45 90 7
45 91 10
46 92 6
46 93 10
47 94 4
47 95 9
48 96 8
48 97 8
49 98 6
49 99 1
50 100 6
