# Edges (u,v,w)
1 2 3
1 3 7
2 4 5
2 5 1
3 6 7
3 7 1
4 8 3
4 9 5
5 10 1
5 11 2
6 12 9
6 13 5
7 14 3
7 15 8
8 16 10
8 17 10
9 18 5
9 19 1
10 20 8
10 21 3
11 22 9
11 23 8
12 24 5
12 25 4
13 26 6
13 27 5
14 28 5
14 29 3
15 30 7
15 31 8
16 32 3
16 33 1
17 34 2
17 35 6
18 36 7
18 37 4
19 38 3
19 39 4
20 40 8
20 41 1
21 42 10
21 43 3
22 44 8
22 45 5
23 46 10
23 47 6
24 48 2
24 49 8
25 50 6
25 51 9
26 52 10
26 53 3
27 54 6
27 55 9
28 56 5
28 57 4
29 58 10
29 59 6
30 60 5
30 61 1
31 62 4
31 63 5
32 64 5
32 65 9
33 66 2
33 67 3
34 68 9
34 69 2
35 70 8
35 71 6
36 72 4
36 73 9
37 74 2
37 75 3
38 76 9
38 77 9
39 78 6
39 79 9
40 80 7
40 81 8
41 82 7
41 83 1
42 84 4
42 85 8
43 86 3
43 87 10
44 88 8
44 89 2
45 90 5
45 91 1
46 92 8
46 93 6
47 94 5
47 95 9
48 96 10
48 97 5
49 98 5
49 99 6
50 100 1
