# Edges (u,v,w)
1 2 3
1 3 4
2 4 6
2 5 6
3 6 5
3 7 5
4 8 9
4 9 2
5 10 7
5 11 9
6 12 4
6 13 9
7 14 10
7 15 7
8 16 3
8 17 10
9 18 5
9 19 3
10 20 5
10 21 4
11 22 5
11 23 4
12 24 6
12 25 1
13 26 8
13 27 8
14 28 4
14 29 7
15 30 7
15 31 5
16 32 1
16 33 7
17 34 7
17 35 5
18 36 2
18 37 8
19 38 4
19 39 9
20 40 4
20 41 5
21 42 7
21 43 2
22 44 2
22 45 7
23 46 10
23 47 8
24 48 4
24 49 4
25 50 5
25 51 4
26 52 7
26 53 3
27 54 2
27 55 3
28 56 2
28 57 9
29 58 7
29 59 2
30 60 9
30 61 7
31 62 2
31 63 5
32 64 5
32 65 4
33 66 5
33 67 8
34 68 8
34 69 10
35 70 8
35 71 2
36 72 5
36 73 9
37 74 10
37 75 5
38 76 3
38 77 7
39 78 6
39 79 10
40 80 10
40 81 1
41 82 2
41 83 8
42 84 9
42 85 3
43 86 3
43 87 5
44 88 5
44 89 7
45 90 2
45 91 7
46 92 10
46 93 1
47 94 6
47 95 9
48 96 10
48 97 7
49 98 3
49 99 6
50 100 6
