# Edges (u,v,w)
1 2 3
1 3 10
2 4 6
2 5 1
3 6 3
3 7 9
4 8 8
4 9 5
5 10 9
5 11 5
6 12 7
6 13 1
7 14 9
7 15 3
8 16 8
8 17 1
9 18 8
9 19 4
10 20 10
10 21 8
11 22 3
11 23 7
12 24 1
12 25 4
13 26 10
13 27 9
14 28 3
14 29 9
15 30 6
15 31 6
16 32 2
16 33 6
17 34 4
17 35 3
18 36 3
18 37 5
19 38 3
19 39 8
20 40 4
20 41 6
21 42 6
21 43 2
22 44 3
22 45 5
23 46 3
23 47 5
24 48 2
24 49 8
25 50 10
25 51 5
26 52 5
26 53 6
27 54 3
27 55 4
28 56 6
28 57 5
29 58 9
29 59 6
30 60 5
30 61 7
31 62 4
31 63 10
32 64 4
32 65 5
33 66 3
33 67 9
34 68 9
34 69 10
35 70 7
35 71 7
36 72 9
36 73 2
37 74 8
37 75 3
38 76 1
38 77 4
39 78 4
39 79 4
40 80 6
40 81 5
41 82 1
41 83 6
42 84 9
42 85 2
43 86 2
43 87 2
44 88 4
44 89 2
45 90 9
45 91 8
46 92 6
46 93 1
47 94 4
47 95 4
48 96 9
48 97 9
49 98 6
49 99 4
50 100 1
