# Edges (u,v,w)
1 2 3
1 3 9
2 4 6
2 5 3
3 6 1
3 7 7
4 8 9
4 9 2
5 10 4
5 11 3
6 12 5
6 13 6
7 14 9
7 15 1
8 16 6
8 17 6
9 18 10
9 19 5
10 20 7
10 21 3
11 22 9
11 23 5
12 24 5
12 25 7
13 26 10
13 27 10
14 28 5
14 29 2
15 30 2
15 31 8
16 32 10
16 33 3
17 34 4
17 35 3
18 36 4
18 37 5
19 38 10
19 39 10
20 40 6
20 41 10
21 42 8
21 43 9
22 44 2
22 45 3
23 46 1
23 47 8
24 48 2
24 49 9
25 50 6
25 51 6
26 52 5
26 53 7
27 54 6
27 55 2
28 56 3
28 57 6
29 58 10
29 59 8
30 60 3
30 61 4
31 62 3
31 63 6
32 64 4
32 65 9
33 66 5
33 67 4
34 68 6
34 69 2
35 70 10
35 71 2
36 72 3
36 73 3
37 74 8
37 75 4
38 76 8
38 77 8
39 78 7
39 79 10
40 80 1
40 81 4
41 82 10
41 83 3
42 84 1
42 85 1
43 86 9
43 87 7
44 88 10
44 89 4
45 90 9
45 91 9
46 92 7
46 93 5
47 94 5
47 95 8
48 96 10
48 97 9
49 98 10
49 99 8
50 100 7
